Datetime,Close
2024-06-06 21:00:00+00:00,False
2024-06-10 22:00:00+00:00,False
2024-06-13 15:00:00+00:00,False
2024-06-17 19:00:00+00:00,False
2024-06-20 01:00:00+00:00,False
2024-06-23 18:00:00+00:00,False
2024-06-27 06:00:00+00:00,False
2024-06-29 02:00:00+00:00,False
2024-07-03 15:00:00+00:00,False
2024-07-07 22:00:00+00:00,False
2024-07-11 05:00:00+00:00,False
2024-07-18 03:00:00+00:00,False
2024-07-23 13:00:00+00:00,False
2024-07-25 10:00:00+00:00,False
2024-07-30 04:00:00+00:00,False
2024-08-10 02:00:00+00:00,False
2024-08-11 15:00:00+00:00,False
2024-08-14 19:00:00+00:00,False
2024-08-19 18:00:00+00:00,False
2024-08-21 03:00:00+00:00,False
2024-08-27 00:00:00+00:00,False
2024-09-03 23:00:00+00:00,False
2024-09-06 03:00:00+00:00,False
2024-09-11 14:00:00+00:00,False
2024-09-15 13:00:00+00:00,False
2024-09-18 11:00:00+00:00,False
2024-09-22 10:00:00+00:00,False
2024-09-28 22:00:00+00:00,False
2024-09-30 15:00:00+00:00,False
2024-10-08 08:00:00+00:00,False
2024-10-16 06:00:00+00:00,False
2024-10-17 06:00:00+00:00,False
