Date,Open,High,Low,Close,Volume
2022-10-07,12.505000114440918,12.670000076293945,12.022000312805176,12.076000213623047,672478000
2022-10-10,12.036999702453613,12.12399959564209,11.407999992370605,11.670000076293945,698699000
2022-10-14,12.057000160217285,12.111000061035156,11.204000473022461,11.22700023651123,713432000
2022-10-18,12.343999862670898,12.491999626159668,11.618000030517578,11.967000007629395,659362000
2022-10-27,13.630000114440918,13.838000297546387,13.121999740600586,13.175999641418457,583113000
2022-10-31,13.777999877929688,13.838000297546387,13.29699993133545,13.496999740600586,486341000
2022-11-02,13.850000381469727,14.210000038146973,13.211000442504883,13.218999862670898,672628000
2022-11-09,14.161999702453613,14.211000442504883,13.758999824523926,13.776000022888184,454414000
2022-11-18,15.965999603271484,16.00200080871582,15.119999885559082,15.409000396728516,492072000
2022-12-06,16.530000686645508,16.572999954223633,15.819000244140625,15.987000465393066,352694000
2022-12-13,18.5310001373291,18.790000915527344,17.711000442504883,18.07200050354004,656589000
2022-12-22,16.0939998626709,16.13800048828125,14.881999969482422,15.33899974822998,565045000
2022-12-27,15.074000358581543,15.100000381469727,14.055999755859375,14.121000289916992,464902000
2023-01-03,14.85099983215332,14.996000289916992,14.095999717712402,14.3149995803833,401277000
2023-01-30,19.950000762939453,20.139999389648438,19.149999618530273,19.16200065612793,488611000
2023-03-01,23.191999435424805,23.256000518798828,22.507999420166016,22.697999954223633,460026000
2023-03-09,24.174999237060547,24.45400047302246,23.382999420166016,23.43600082397461,501257000
2023-04-11,27.724000930786133,27.790000915527344,27.125999450683594,27.16900062561035,314378000
2023-04-12,27.3700008392334,27.468000411987305,26.447999954223633,26.4950008392334,446259000
2023-04-20,27.67099952697754,28.030000686645508,27.0,27.104000091552734,427713000
2023-04-25,27.077999114990234,27.246999740600586,26.225000381469727,26.240999221801758,378527000
2023-05-31,39.487998962402344,40.29499816894531,37.821998596191406,37.83399963378906,1002580000
2023-06-07,38.915000915527344,39.499000549316406,37.35599899291992,37.474998474121094,511998000
2023-06-26,42.46099853515625,42.763999938964844,40.099998474121094,40.63199996948242,594322000
2023-07-14,46.58300018310547,48.0880012512207,45.060001373291016,45.46900177001953,772075000
2023-07-20,46.50699996948242,47.08700180053711,45.0620002746582,45.52000045776367,537865000
2023-07-21,45.78799819946289,45.86600112915039,44.099998474121094,44.308998107910156,963769000
2023-08-02,45.83100128173828,45.84000015258789,43.387001037597656,44.26900100708008,530142000
2023-08-09,44.27399826049805,44.3120002746582,42.13399887084961,42.55400085449219,586449000
2023-08-11,41.750999450683594,42.018001556396484,40.638999938964844,40.85499954223633,533085000
