Date,Open,High,Low,Close,Volume
2022-10-07,240.89999389648438,241.32000732421875,233.1699981689453,234.24000549316406,37769600
2022-10-14,235.5399932861328,237.24000549316406,228.33999633789062,228.55999755859375,30198600
2022-11-01,234.60000610351562,235.74000549316406,227.3300018310547,228.1699981689453,30592300
2022-11-02,229.4600067138672,231.3000030517578,220.0399932861328,220.10000610351562,38407000
2022-11-03,220.08999633789062,220.41000366210938,213.97999572753906,214.25,36633900
2022-12-06,250.82000732421875,251.86000061035156,243.77999877929688,245.1199951171875,22463700
2023-01-05,227.1999969482422,227.5500030517578,221.75999450683594,222.30999755859375,39585600
2023-01-18,241.57000732421875,242.3800048828125,235.52000427246094,235.80999755859375,30028700
2023-02-08,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,54686000
2023-02-09,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,42375100
2023-06-07,331.6499938964844,334.489990234375,322.5,323.3800048828125,40717100
2023-06-16,351.32000732421875,351.4700012207031,341.95001220703125,342.3299865722656,46533600
2023-07-27,340.4800109863281,341.3299865722656,329.04998779296875,330.7200012207031,39635300
2023-08-24,332.8500061035156,332.9800109863281,319.9599914550781,319.9700012207031,23281400
2023-09-20,329.510009765625,329.5899963378906,320.510009765625,320.7699890136719,21436500
2023-10-03,320.8299865722656,321.3900146484375,311.2099914550781,313.3900146484375,21033500
2023-10-26,340.5400085449219,341.6300048828125,326.94000244140625,327.8900146484375,37828500
2024-01-31,406.9599914550781,415.32000732421875,397.2099914550781,397.5799865722656,47871100
2024-03-05,413.9599914550781,414.25,400.6400146484375,402.6499938964844,26919200
2024-04-15,426.6000061035156,426.82000732421875,413.42999267578125,413.6400146484375,20273500
2024-04-30,401.489990234375,402.1600036621094,389.1700134277344,389.3299865722656,28781400
2024-05-30,424.29998779296875,424.29998779296875,414.239990234375,414.6700134277344,28424800
2024-07-24,440.45001220703125,441.4800109863281,427.5899963378906,428.8999938964844,26805800
2024-07-25,428.79998779296875,429.79998779296875,417.510009765625,418.3999938964844,29943800
2024-08-07,408.6400146484375,410.0799865722656,397.4700012207031,398.42999267578125,20650900
2024-08-22,424.3599853515625,426.7900085449219,414.6099853515625,415.54998779296875,19361900
2024-09-03,417.9100036621094,419.8800048828125,407.0299987792969,409.44000244140625,20313600
